"SiglaEmpresa";"NumeroVoo";"DI";"TipoLinha";"AeroportoOrigem";"AeroportoDestino";"PartidaPrevista";"PartidaReal";"ChegadaPrevista";"ChegadaReal";"Situacao";"Justificativa"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"19/12/2014 02:30";"19/12/2014 03:41";"19/12/2014 05:57";"19/12/2014 07:05";"Realizado";"AR"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"06/12/2014 02:30";"06/12/2014 03:12";"06/12/2014 05:57";"06/12/2014 06:47";"Realizado";"RI"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"18/12/2014 02:30";"18/12/2014 03:13";"18/12/2014 05:57";"18/12/2014 06:29";"Realizado";"RA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"29/12/2014 02:30";"29/12/2014 03:12";"29/12/2014 05:57";"29/12/2014 06:29";"Realizado";"MA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"22/12/2014 02:30";"22/12/2014 02:57";"22/12/2014 05:57";"22/12/2014 06:28";"Realizado";"RA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"23/12/2014 02:30";"23/12/2014 02:50";"23/12/2014 05:57";"23/12/2014 06:22";"Realizado";"RA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"15/12/2014 02:30";"15/12/2014 02:42";"15/12/2014 05:57";"15/12/2014 06:14";"Realizado";"RA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"08/12/2014 02:30";"08/12/2014 03:04";"08/12/2014 05:57";"08/12/2014 06:13";"Realizado";"RA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"16/12/2014 02:30";"16/12/2014 02:48";"16/12/2014 05:57";"16/12/2014 06:10";"Realizado";"MA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"20/12/2014 02:30";"20/12/2014 02:54";"20/12/2014 05:57";"20/12/2014 06:07";"Realizado";"MA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"04/12/2014 02:30";"04/12/2014 02:50";"04/12/2014 05:57";"04/12/2014 06:00";"Realizado";"RA"
